master_metadata_track_name,play_count,spotify_track_uri,genre
Zjerm,486,spotify:track:34ozWcKZQ0RvV9td8EHfXO,folktronica
bye,292,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,pop
Bleed (feat. Omar Apollo),242,spotify:track:5p3ckKoVpUi51ByUmA1vfT,indie pop
Messy,230,spotify:track:3SKH53SPQbEnZR4cJPVaz2,soul pop
Hey hey hey,196,spotify:track:3OpKkyjBiABiTRRkJnJGxB,hip hop
Fancy Footwork,186,spotify:track:2kBt8AO9HZn8VvtyPhWX1o,"nu disco, alternative dance"
(Nice Dream),153,spotify:track:1tZcw7GtIqviL32bzaKdSo,"art rock, alternative rock"
Up in the Air,148,spotify:track:0DKoCAm5grcCkHAFldkB2s,indie pop
"The Winner Takes It All - From ""Mamma Mia!""",139,spotify:track:4uytiW8D73yWQHkg1PzYlB,musicals
Open Hearts,130,spotify:track:0sTBOp1hdayTjw6UOyPyi6,synth pop
Knock 'Em Out,117,spotify:track:7jaNSoIBQAkc8iYzQroRBJ,pop
Life Goes On,108,spotify:track:5SoKCTxPvWYSK9A5jNniP7,"dream pop, jangle pop"
Juno,98,spotify:track:21B4gaTWnTkuSh77iWEXdS,pop
Per Ty,92,spotify:track:2h0OyOpur5cKlA8vCWmuKF,hip hop
Not Strong Enough,89,spotify:track:09DR0sHnQUhHOiSNttc1mv,alternative
Mrs Magic (Strings Version),89,spotify:track:4iVj0UxqLlgrFWNdOnCwFS,bedroom pop
Superglue,87,spotify:track:43C2N2FgjrKfORvmhs9vJ8,bedroom pop
Headlock,81,spotify:track:7vTENp2sLS3sPY5z4npYNr,electropop
Pink Pony Club,78,spotify:track:1k2pQc5i348DCHwbn5KTdc,pop
twilight zone,67,spotify:track:1YRbAonLvmuUILvQso0gUM,pop
Born Again (feat. Doja Cat & RAYE),66,spotify:track:4CPuDVC8jhhK6lA2DIt8Cf,k-pop
When He Sees Me,64,spotify:track:4tG0cdbL7v4pQ8RWOqLDHx,musicals
Another Day Of Sun,61,spotify:track:5kRBzRZmZTXVg8okC7SJFZ,musicals
eternal sunshine,60,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,pop
Popular,60,spotify:track:3i8fIJNV0yuC4kXT3SkVBZ,pop
Soul Love - 2012 Remaster,56,spotify:track:1bo6xzrCrK7ocEirC5rrZk,"glam rock, art rock"
365,56,spotify:track:5h68SoVFGleijCtjEja3xG,"hyperpop, art pop"
Rocketeer,56,spotify:track:45sDIKapDyxPl307QpEAwl,electropop
Without You,55,spotify:track:7cpHPzPgqKor6gv6nTkJ4R,alternative
Oysters In My Pocket,52,spotify:track:2B664ulJSVBd6B8SAY3Wux,indie
Perfection,52,spotify:track:6wQWYfRcZWyzRaH3hnjNxq,"soundtrack, score"
Mos Shko,51,spotify:track:1T1slH7JU42Q9S7bjkYYgg,hip hop
No One Mourns the Wicked,50,spotify:track:0br9vcQnqeqp9PKCGsrxAF,musicals
